test #,spacing,interval,corrupt,repeat,,corrupt,good,bad
2a1,even,8,[0],1,,1305,256,0
2a2,even,8,[1],1,,1305,256,0
2a3,even,16,[1:0],1,,652,256,0
2a4,even,16,[0],2,,1304,256,0
2a5,even,16,[1],2,,1304,256,0
2a6,even,32,[0],4,,1304,232,24
2a7,even,32,[1],4,,1304,243,13
2a8,even,32,[1:0],2,,652,238,18
2b1,random,8,[0],1,,1337,253,3
2b2,random,8,[1],1,,1337,256,0
2b3,random,16,[1:0],1,,656,249,7
2b4,random,16,[0],2,,1244,250,6
2b5,random,16,[1],2,,1244,254,2
2b6,random,32,[0],4,,1196,243,13
2b7,random,32,[1],4,,1196,251,5
2b8,random,32,[1:0],2,,634,250,6
